time_step,time_hour,household_scaling,ev_requested_scaling,ev_scaling,hp_requested_scaling,hp_scaling,min_voltage,max_loading,control_iterations
0,0.0,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
1,0.25,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
2,0.5,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
3,0.75,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
4,1.0,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
5,1.25,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
6,1.5,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
7,1.75,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
8,2.0,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
9,2.25,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
10,2.5,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
11,2.75,0.2,1.0,1.0,0.4,0.4,0.9695683567645971,15.15040722503937,0
12,3.0,0.20857864376269045,1.0,1.0,0.4,0.4,0.9688711744025775,15.413192357566686,0
13,3.25,0.2181308369799862,1.0,1.0,0.4,0.4,0.968093750555858,15.706375577812324,0
14,3.5,0.22824771419825585,1.0,1.0,0.4,0.4,0.9672690748668962,16.017543361604183,0
15,3.75,0.23888595339607954,1.0,1.0,0.4,0.4,0.9664004583759419,16.345461663224746,0
16,4.0,0.25,1.0,1.0,0.4,0.4,0.9654914057636821,16.68881916205997,0
17,4.25,0.26154226195619973,1.0,1.0,0.4,0.4,0.9645456039214989,17.046231522495045,0
18,4.5,0.273463313526982,1.0,1.0,0.4,0.4,0.9635669096375546,17.416246124516576,0
19,4.75,0.28571210693936766,1.0,1.0,0.4,0.4,0.9625593363943383,17.79734724372492,0
20,5.0,0.29823619097949583,1.0,1.0,0.4,0.4,0.961527040277942,18.18796165677373,0
21,5.25,0.31098193559677434,1.0,1.0,0.4,0.4,0.9604743050048428,18.586464646675317,0
22,5.5,0.3238947615559897,1.0,1.0,0.4,0.4,0.9594032089911427,18.991978203489438,0
23,5.75,0.3369193741539714,1.0,1.0,0.4,0.4,0.9583226275690253,19.401294925103542,0
24,6.0,0.35,0.0,0.0,0.4,0.4,0.9706260750889923,11.702429115045911,0
25,6.25,0.36308062584602857,0.0,0.0,0.4,0.4,0.9695638848383352,12.108666101244891,0
26,6.5,0.3761052384440103,0.0,0.0,0.4,0.4,0.9685040402051278,12.513955752883552,0
27,6.75,0.38901806440322567,0.0,0.0,0.4,0.4,0.9674511097109458,12.916550553538709,0
28,7.0,0.40176380902050424,0.0,0.0,0.4,0.4,0.9664096604413581,13.31470458888676,0
29,7.25,0.41428789306063285,0.0,0.0,0.4,0.4,0.9653842377397782,13.706681300557166,0
30,7.5,0.42653668647302034,0.0,0.0,0.4,0.4,0.9643793445007809,14.090761371664392,0
31,7.75,0.4384577380438102,0.0,0.0,0.4,0.4,0.9633934953188448,14.465747176649996,0
32,8.0,0.45000000000004003,0.0,0.0,0.4,0.4,0.9623942626086964,14.829038317481489,0
33,8.25,0.4611140466040765,0.0,0.0,0.4,0.4,0.9614302455708219,15.179460430929517,0
34,8.5,0.47175228580233314,0.0,0.0,0.4,0.4,0.9605057845698572,15.515442739691036,0
35,8.75,0.48186916302216826,0.0,0.0,0.4,0.4,0.959625065449646,15.83547158485136,0
36,9.0,0.4914213562449479,0.0,0.0,0.4,0.4,0.9587920976539567,16.138098196336173,0
37,9.25,0.5003679615220427,0.0,0.0,0.4,0.4,0.9580106928480933,16.421946265250405,0
38,9.5,0.5086706681456635,0.0,0.0,0.4,0.4,0.957284444208979,16.68571926117377,0
39,9.75,0.5162939227426929,0.0,0.0,0.4,0.4,0.9566167065531536,16.928207437123106,0
40,10.0,0.5232050816397632,0.0,0.0,0.4,0.4,0.9560105774697703,17.148294466084895,0
41,10.25,0.5293745509838242,0.0,0.0,0.4,0.4,0.9554688796160634,17.344963656639017,0
42,10.5,0.5347759143712404,0.0,0.0,0.4,0.4,0.954994144308951,17.517303703963524,0
43,10.75,0.5393860483156677,0.0,0.0,0.4,0.4,0.9545885964928497,17.664513951858066,0
44,11.0,0.5431852271521598,0.0,0.0,0.4,0.4,0.9542541410467199,17.785909183799806,0
45,11.25,0.5461572217185057,0.0,0.0,0.4,0.4,0.9539923501435947,17.880924051327973,0
46,11.5,0.5482894019066795,0.0,0.0,0.4,0.4,0.9538044508587421,17.949117435358218,0
47,11.75,0.5495728647422422,0.0,0.0,0.4,0.4,0.9536913111920747,17.990177409515322,0
48,12.0,0.5500026318145658,0.0,0.0,0.4,0.4,0.953653420707709,18.003928186453866,0
49,12.25,0.5495780001625444,0.0,0.0,0.4,0.4,0.9536908584438094,17.990341716314713,0
50,12.5,0.5483031997298845,0.0,0.0,0.4,0.4,0.9538032346903912,17.94955880497702,0
51,12.75,0.5461886210694529,0.0,0.0,0.4,0.4,0.953989583573133,17.881928128395966,0
52,13.0,0.5432530406500613,0.0,0.0,0.4,0.4,0.9542481691543431,17.788076689749225,0
53,13.25,0.5395274903643614,0.0,0.0,0.4,0.4,0.9545761488306099,17.66903215090824,0
54,13.5,0.5350616725774425,0.0,0.0,0.4,0.4,0.9549690160261993,17.52642539860478,0
55,13.75,0.5299340511205257,0.0,0.0,0.4,0.4,0.9554197249732512,17.36280871177022,0
56,14.0,0.524266830531813,0.0,0.0,0.4,0.4,0.9559173942711544,17.182127149232628,0
57,14.25,0.5182467791669924,0.0,0.0,0.4,0.4,0.956445509173626,16.990372357430424,0
58,14.5,0.5121520115433642,0.0,0.0,0.4,0.4,0.956979615348931,16.796421529253323,0
59,14.75,0.5063831836266282,0.0,0.0,0.4,0.4,0.9574846377513486,16.613012908840737,0
60,15.0,0.5014949576261133,0.0,0.0,0.4,0.4,0.9579121742528834,16.457730380051032,0
61,15.25,0.4982202320324011,0.0,0.0,0.4,0.4,0.9581983877135201,16.353769440077347,0
